Label,Statements
Strong facts,"The young childâ€™s brain has basically the same structures as the adult brain. These structures carry out the same functions via the same mechanisms. For example, a concept in science may depend on neurons being simultaneously active in visual, spatial, memory, deductive and kinaesthetic regions, in both brain hemispheres. Ideas such as left-brain/right-brain learning, or unisensory â€˜learning stylesâ€™ (visual, auditory or kinaesthetic) are not supported by the brain science of learning."
Strong facts,The brain is the fastest growing organ in the first three years of a childâ€™s growth.
Strong facts,"Cerebellum, the part of the brain that controls movement, is situated at the back of the brain and is considered to be the fastest of all brain structures to develop in a child."
Strong facts,Your Babyâ€™s Brain Is Rapidly Growing
Strong facts,"That canâ€™t be ignored, proving the need for enriching childhood experiences that fuel this growth and development"
Strong facts,"Baby Bodies Grow Fast, But Not As Fast As Their Brains"
Strong facts,In fact childrenâ€™s brains develop connections faster in the first five years than at any other time in their lives.
Strong facts,"Babies can distinguish cats from dogs, something that is extremely difficult to program into a computer."
Strong facts,"Researchers note that a babyâ€™s brain is like a lantern: it is vaguely aware of everything. An adultâ€™s brain, on the other hand, is more like a flashlight, consciously focused on specific things but ignoring background. Scientists suggest that creative people have retained some ability to think like an infant."
Strong facts,A baby is aware of everything around them and tried to process it all as one. 
Strong facts,"Basic aspects of brain function, such as the ability to see and hear effectively, do depend critically on very early experiences as do some aspects of emotional development."
Strong facts,"The ongoing interchange between genes and different environments â€“ within which children are born, grow, learn and live â€“ shapes the developing brainâ€"
Strong facts,"Based on the repetitive sensory experiences, the brain establishes connection of the words with experiences/objects"
Strong facts,"Based on the repetitive sensory experiences, brain would be able to successfully establish connection of the words with the experiences and objects."
Strong facts,The brain builds upon repetitive sensory experiences.
Strong facts,The language portion of the brain is enhanced greatly by interaction with others because the brain can then connect words with objects and experiences.
Strong facts,"Movement gets the brain going. An active body makes for an active brain, so make learning a hands-on affair."
Strong facts,Learning and enhancing the language portion of the brain is to instill communication skills in kids
Strong facts,"Our brains are truly amazing. â€œDuring these critical years, the foundation is laid for a childâ€™s physical and mental health, affecting everything from longevity to the lifelong capacity to learn, from the ability to adapt to change to the capacity for resilience against adverse circumstances."
Strong facts,"Stable, caring, interactive relationships with adults will benefit healthy brain development of young children"
Strong facts,Communication the kids have with their parents matters a lot in enhancing the language portion of the brain.
Strong facts,"You might think that whilst your baby is having a little nap her brain is too. But the truth is, parts of your babyâ€™s brain are more active during sleep than when awake."
Strong facts,"They shape the brainâ€™s organization, development, and functioning throughout life."
Strong facts,"Cognitive development refers to childrenâ€™s ability to learn, understand their environment and begin to solve problems on their own."
Strong facts,"Cognitive development can mean different things at different ages. For example, as a baby, solving problems may refer to exploring the immediate environment with hands and mouth. For a 5-year-old, problem-solving may refer to tying shoelaces, eating with cutlery or even solving simple mathematical problems."
Strong facts,Playing peek-a-boo is beneficial for infants
Strong facts,"Weâ€™ve all seen someone play peek-a-boo with an infant. While this seems like a simple and easy way to get some chuckles out of a baby, itâ€™s actually very beneficial for their cognitive development. "
Strong facts,"Playing peek-a-boo helps a child develop object permanence. Object permanence is the understanding that an object or event continues to exist even when it cannot be touched, heard, or seen. This concept develops between infants who are 6 months to a year old."
Strong facts,"Children are constantly expanding and reorganizing their mental structures as they process their experiences. The structure of their brains actually changes. Activity causes the brain to create and eliminate neural circuits. This happens throughout life, but it is most common in early childhood. Children learn from observation, activities and from direct instruction. But, to improve cognitive functioning, activities and instruction must align with the childâ€™s stage of development and with his cognitive capacities."
Strong facts,"While a toddlerâ€™s exclamation of â€œmineâ€ may seem to be selfish refusal, it actually indicates a cognitive achievement of selfhood. They are beginning to understand that other people are separate entities."
Strong facts,Engaging children in planning and reflection enhance their predictive and analytic capabilities
Strong facts,"Sleep isnâ€™t just a rest for babyâ€™s brain, itâ€™s a cognitive process"
Strong facts,"Research into the brain activity of baby birds (Rauske et al., 2003) has provided some insight into the importance of sleep for human babies. In the study, two groups of zebra finch chicks practised their tweeting. Afterwards, one group rested silently and the other group went to sleep. Interestingly, the brains of the resting chicks measured reduced brain activity whereas the sleeping chickâ€™s brains showed high levels of activity indicating that they were still processing their mothersâ€™ songs. Fascinating!"
Strong facts,"So it seems that sleep time is not all about sweet dreams for baby and a bit of peace for mummy â€“ it is actually an important time for cognitive processing which is crucial to a babyâ€™s development. Babies know whatâ€™s good for them. Sleep, and lots of it!"
Strong facts,"The most common type of developmental delay in children is language and speech problems. Speech refers to verbal expression, such as the way words are formed. Language is more broad and includes expressing and receiving information, such as understanding gestures"
Strong facts,Language is the most difficult thing a child must learn in their early development. 
Strong facts,Language is also the most common skill that children fall behind on in early development.
Strong facts,Babies love to look at faces and enjoy mimicking interactions even at a few days old
Strong facts,Babies Can Understand You Before They Learn How to Talk
Strong facts,"although she won't say her first word until she's about a year old, she's learning about language right from the start"
Strong facts,"Even though they understand thousands of words, toddlers may not speak as many"
Strong facts,"Even as a baby, your little one already is getting to learn so much about you and the world around them. "
Strong facts,"Long before a baby can speak, they are listening and absorbing all kinds of thoughts, feelings and even words. Even before they can say their first word, your child is starting to understand what youâ€™re saying. "
Strong facts,Your child understands what you are saying before they begin to speak
Strong facts,"By the time your baby says their first words, they are already able to understand a large number of words of their language, even if they arenâ€™t able to say them all yet"
Strong facts,"By the time your baby has started babbling sounds, they have already started learning abstract language patterns and creating abstract language rules."
Strong facts,Language learning increases your babyâ€™s attention to nearby objects
Strong facts,"When your baby is babbling, they are experimenting. "
Strong facts,"Babies babble both speech sounds and non-speech sounds and their brains learn to filter out which sounds do not belong to the language they are learning. (For example, some babies may practice raspberries during babbling until they learn the sound is not part of the target language."
Strong facts,You can accelerate your childâ€™s language development
Strong facts,"Take advantage of this amazing capacity for learning by talking, reading and singing to your baby whenever you can. "
Strong facts,"It's never too early to start reading to your baby, and the more words she hears now, the better her language skills are likely to be later on."
Strong facts,"research suggests that the more words she hears in her first days, weeks and months, the better her language skills are likely to be by the time she starts school"
Strong facts,"Early childhood is key. This is also the time when he learns language best. When you use rich language with your young child, you are improving his future vocabulary."
Strong facts,"Language development isnâ€™t necessarily linear. Some toddlers learn phrases before words; others will go weeks without new words, then have a sudden burst of new ones"
Strong facts,Babes Are Wildly Aware
Strong facts,"It doesn't matter what you say, as your baby will simply love the sound of your voice. "
Strong facts,"Your voice is your baby's favourite sound, and she'll love to hear you talk and sing to her. "
Strong facts,"Singing incessantly, and talking to little ones, even when they seem only to stare, is good for their healthy growth."
Strong facts,"Take time to tune into your baby and enjoy taking turns with babbling conversations, copying your babyâ€™s sounds and always giving them good eye contact. This really develops their ability to communicate and their social skills"
Strong facts,"â€œParentese,â€ or baby talk, is a seemingly instinctual response that researchers have found is critical to the development of an infant. "
Strong facts,"Its exaggerated musicality and slow structure emphasizes the parts of language, which helps a baby grasp words."
Strong facts,Keep Up The Baby Talk
Strong facts,"Baby talk or speaking in slow, simplified or exaggerated speech is actually hugely beneficial to babies. "
Strong facts,"It may seem like a one-sided conversation with a baby, but just because one party responds in â€˜goosâ€™ and â€˜gamesâ€™ doesnâ€™t mean they arenâ€™t communicating."
Strong facts,One-sided conversations with babies arenâ€™t as one-sided as you think!
Strong facts,Walls have ears? So does your child
Strong facts,"Keep talking to your children â€“ the more words they hear, the sooner they will start to respond"
Strong facts,"They are not only listening to your words, but also the tone of your voice when using those words. "
Strong facts,Keep the profanities away or better yet â€“ get rid of them altogether!
Strong facts,Learn Something New Every Day
Strong facts,"Pay attention to not only what you say around your children, but also how you say things. Science has found baby talk helps infants develop word recognition at an earlier age. "
Strong facts,"Babies who hear a lot of baby talk from mom, dad and other caregivers are more likely to pick up language sooner than babies who do not."
Strong facts,"Turns out baby talk is instinctual, and research shows itâ€™s critical to infant development. "
Strong facts,"When words are over emphasized and musical, this actually helps babies grasp language. "
Strong facts,Silly Talk nâ€™ Goofy Faces Are Fuel
Strong facts,"Your exaggerated facial expressions trigger emotions within them, helping babes to grasp emotional communication. So, your inner child can bust out around babies, guilt free!"
Strong facts,Infants And Toddlers Are Smarter Than They Sound
Strong facts,Your child understands what you are saying before they begin to speak
Strong facts,Mothers love talking to their babies and itâ€™s great for them to hear you.
Strong facts,"Reading out aloud to a child will help stimulate brain development, especially in their early years."
Strong facts,Kids learn a ton of new worlds at a very fast rate
Strong facts,Young children learn new words at an exponential rate.
Strong facts,They Love Human Speech
Strong facts,We know that toddlers love repeating and imitating things that they hear around them but itâ€™s not without a filter. 
Strong facts,They love human speech which is why they imitate words rather than random noises like phone ringing
Strong facts,"When childrenâ€™s speech and language development advances, they develop their ability to communicate in various ways. "
Strong facts,"As communication is complex and involves more than simply vocabulary, this type of development manifests in different ways."
Strong facts,"At a young age, speech and language development can be as simple as responding to certain commands, such as â€œsit downâ€ or â€œlook over there.â€ "
Strong facts,"As children grow, their language skills improve, and at around age two, many may be able to say certain words. "
Strong facts,"As they grow older, children will master more complex language skills, such as the ability to understand different tenses and engage in conversations with others."
Strong facts,Now this doesnâ€™t mean that your child must reach speech milestones in each language individually.
Strong facts,It is also normal to expect some blending or â€œmash-upsâ€ of both languages into one sentence.
Strong facts,"Even if he only speaks a small amount, he knows what you are telling him. So keep talking to your baby! "
Strong facts,Your 3 year old is NOT behind if he doesnâ€™t know his ABCs
Strong facts,"Nope. Now I know small children reciting his ABCs or some other â€œlistâ€ are super adorable (Does anyone remember Youtubeâ€™s Noel and the dinosaur names- cuteness!). However, it doesnâ€™t mean your kid is smarter or less smart for not knowing them."
Strong facts,"In fact according to child development norms, we expect kids to learn the ABCs between 2-6 years of age. Yip, that is a huge age range!"
Strong facts,If your child wants to learn the ABCs or the names of every country in the world that is great! But we donâ€™t have to worry about â€œteachingâ€ them when they are still little. 
Strong facts,And we certainly donâ€™t have to worry that they are behind or not meeting a child development milestone if they donâ€™t recite their ABCs at age 3. 
Strong facts,Phonemic awareness and alphabet recognition increase childrenâ€™s chances of reading achievement.
Strong facts,"Every developmental stage that babies experience (holding their head up, standing, sitting, crawling, etc.) helps prepare them for walking. Even if the goal is to walk, every intervention leading up to this accomplishment is extremely important."
Strong facts,Let children play freely on the floor. This will provide them with the opportunity to learn to move around and master their gross development. Forget about small chairs or large play stations or centers. Simply let children play on the floor.
Strong facts,Smiles are reserved for human babies only. Thatâ€™s right. Human infants are the only species that smile at their parents. Arenâ€™t we blessed?
Strong facts,Psychological Facts of Children study says Children who participate in laughing activities experience increase in memory retention.
Strong facts,"Laughter not only increases a childâ€™s capacity to remember the humor, but it also gives a feeling of security and contentment"
Strong facts,"When toddlers know they can make people laugh, it builds their self-esteem"
Strong facts,"kids with a well-developed sense of humor are happier and more optimistic, have higher self-esteem, and can handle differences (their own and othersâ€™) well "
Strong facts,The benefits of laughing go beyond social-emotional
Strong facts,"laughter and a humorous outlook have been shown to lower blood pressure, aid in digestion, decrease symptoms of pain, and improve overall immunity"
Strong facts,"when kids are using humor, they are using both parts of their brain. They are using the left side of the brain for thinking of the jokes, and using the right side for laughing and appreciating them"
Strong facts,"Try reading funny books together, putting funny words and sounds together, playing a game of who can make the silliest face, or having a wacky dance party.â£ If comedy isnâ€™t on your list of strengths, just be playful and laugh. Neuroscientists believe that hearing another person laugh triggers mirror neurons in a region of the brain that makes listeners feel as though they are actually laughing themselves. â£So let your toddler know how funny they are when they make jokes or do something silly by laughing out loud"
Strong facts,"There are many research studies on what makes our children smarter: Love, Connection, eye contact, reading to your child, self-control and emotional regulation, attention skills, gross motor skills"
Strong facts,nutrition 
Strong facts,There are more left-handed people in the United States than any other county in the world. 90% of children are born right-handed.
Strong facts,"Cry For Attention. Some biologists think that newborns have that shrill and annoying cry, not only to call for attention but also so parents wonâ€™t get too attached. This comes from a the belief that infant mortality was much more common during the development of our species"
Strong facts,Children cry when they are left alone by their parents/family. 
Strong facts,"If you find your baby crying whenever you try to leave them for going to work, then that means your baby has started to show growing signs of long-term memory development. Your baby will start showing these signs mostly after they have turned a minimum of 9 months old. This means they have developed a clear memory of his or her mother being there."
Strong facts,"Some early signs of autism includes lack of eye contact, refusal to cuddle, and apathy toward parents or caregivers."
Strong facts,"Instead, babies arrive with skills required to adapt to a wide range of conditions, which allows them to survive all over the world."
Strong facts,"Psychologists claim that babies know right from wrong even at 6 months, which challenges the notion that babies come with a â€œmoral blank stateâ€ or that they are what Freud called â€œamoral animals.â€"
Strong facts,"Babies exhibit the palmar grasp, which happens when someone strokes the infantâ€™s palm or puts anything in its hand. In 1891, one scientist tested how long a baby could grasp a bar. Most were able to hang on for at least several seconds, while one lasted 2 minutes and 35 seconds."
Strong facts,"Male babies are born with as much testosterone as a 25-year-old man. After birth, testosterone levels plummet until puberty."
Strong facts,"While females produce some testosterone before theyâ€™re born, they donâ€™t produce nearly as much as a male. Additionally, the estrogen a female fetus makes barely influences her developing brain, leading scientists to claim that girls have the brain a boy would have had if a boyâ€™s brain werenâ€™t changed by testosterone."
Strong facts,"Development is a highly interactive process, and life outcomes are not determined solely by genes."
Strong facts,Genetic differences between children influence development.
Strong facts,"However, the fact that genes influence development makes it even more important to provide optimal early learning environments for all children so that environmental differences and genetic differences are not additive in their effects."
Strong facts,"Nature vs. nurture is a long-standing debate, but the latest science proves itâ€™s a definite mixture of the two. "
Strong facts,Genes and environment work together and influence how a child develops. 
Strong facts,Genetics And Environment Play Equal Parts
Strong facts,"While genetics play an important role in how the child turns out, itâ€™s not the only force in play. Environmental variables also affect how the child develops. For example, genetically a child might be predisposed to grow tall but if he/she doesnâ€™t get proper nutrition, he/she might not reach the full potential."
Strong facts,Even something as seemingly predetermined by genes as height can be shortcut by environment if proper nutrition isnâ€™t provided. 
Strong facts,Brain of your baby is hardwired in such a way that they are able to recognize their motherâ€™s scent. Smell and touch are the two essential factors that determine the bond between a mother and infant. This is made possible by the bonding hormone known as Oxytocin that helps embed a feeling of euphoria in humans.
Strong facts,Genetic differences influence cognitive development of children.
Strong facts,"It is a well-known fact that genes influence the development of children. So, it becomes even more important to provide early learning environments to all children. They need optimal learning so that genetic differences and environmental factors donâ€™t affect their development."
Strong facts,"Our babies inherit much from us genetically aside from physical appearance, like eye and hair color, skin tone, nose shape, as well as height and body build. "
Strong facts,"They also inherit things like aptitude. Have you ever said something like: â€œMy child loves math, she gets that from her mother/father?â€ "
Strong facts,"Our children (for better or for worse) can also, to an extent, inherit traits like intelligence, abilities, and attitudes."
Strong facts,These innate propensities can include everything from shyness and stubbornness to kindness and perseverance or even a specific talent (or lack of!) for certain things. 
Strong facts,"Some kids may have more outgoing or tenacious personalities than their same-age peers, which can also affect how quickly or slowly they hit their developmental milestones. "
Strong facts,"While all kids are special and have amazing potential, some children are also more naturally gifted or excel more than others at certain things. "
Strong facts,"Whether it be at sports or academics, some kids pick things up much faster or more easily than others. "
Strong facts,"Not everyone is destined to be a pro tennis player (in fact, few are). Not every child learns at the same pace or has the same capability to acquire or retain or understand information. "
Strong facts,"You can give 100 randomly-picked children the same academic opportunities - same teacher, same school, same resources, etc and yet they won't all attain the same grades."
Strong facts,"Our genes contain instructions that tell our bodies how to work, but the chemical â€œsignatureâ€ of our environment can authorize or prevent those instructions from being carried out."""
Strong facts,"Routines provide comfort, stability, and a sense of safety for your toddler"
Strong facts,Children of all ages thrive on daily routines and rituals. 
Strong facts,Patterns in your toddlerâ€™s day are comforting because they help them understand and prepare for whatâ€™s going to happen next.
Strong facts,Routines encourage thinking in more advanced ways. 
Strong facts,Toddlers need regular and predictable schedules. Keep sleep times and meal times as consistent as possibleâ€”and be prepared that changes to the routine may bring on a meltdown.
Strong facts,"When your toddler learns about order and sequence and can recognize patterns, they build more advanced thought processes like reasoning, judgment, and anticipation. â£"
Strong facts,"Some ways to incorporate routines are: Wake up time: sing songs, open the blinds, make the bed, change clothes. Before meals: wash hands, get a water cup, sit at the table, say a prayer or sing a song. Before/after play: select a play space, play some music, choose toys, set up, sing a clean up song. Bedtime: bath, turn on a sound machine, dim the lights, close the curtains or blinds, read some books, and sing a few songs"
Strong facts,"Good health, good nutrition and nurturing are especially important during the first few years of a baby."
Strong facts,A healthy lifestyle makes a difference to babyâ€™s development and mumâ€™s health so think about your diet and exercise.
Strong facts,It is also important that mums do not experience very high levels of stress during pregnancy for their own health and the future health of their baby.
Strong facts,"Minor childhood illnesses like colds, ear aches and gastroenteritis generally wonâ€™t have any long-term effects on development. But disability, developmental delay and chronic or long-term conditions can affect development. Health and disability professionals can help you understand your childâ€™s condition and how it affects development."
Strong facts,"Health and Well-being. In a childâ€™s early years, routine illnesses should be expected. Children pick up many germs, and becoming ill from time to time is part of developing their immune system. Illnesses such as colds, tummy upsets and earaches can all form part of a childâ€™s development, yet usually do not present any long-term effects. However, some illnesses in children can affect their development. Chronic illnesses or long-term conditions can be detrimental, as can disabilities."
Strong facts,"If parents are concerned that their child is not meeting developmental milestones, they should consult a health professional to check for underlying health conditions."
Strong facts,Healthy food gives your child the energy and nutrients they need to grow and develop. 
Strong facts,Healthy eating also helps develop their sense of taste. 
Strong facts,Healthy family food and eating patterns in the early years can set up healthy eating habits for life.
Strong facts,One criteria to support optimal development is healthy eating. 
Strong facts,"Children need the proper nutrients and energy levels to develop. These are obtained through healthy food, as well as healthy eating patterns."
Strong facts,"Parents should encourage healthy eating habits. These habits include always having fresh fruit handy for snacks; encouraging children to try vegetables with different textures, colours and tastes; and involving children in planning and preparing meals."
Strong facts,"Babies are born with the ability to taste sweet, bitter, and sour; however, they canâ€™t taste salt until theyâ€™re 4 months old, when sodium-sensitive receptor proteins begin to emerge in the taste buds"
Strong facts,The taste buds that could sense salt would be developed only after your child turns four months old. Similarly the kidney also uses sodium only after a new-born baby has turned four months old. Salt is very important for the body. 
Strong facts,Their tastebuds only recognise sweet and sour. Salt isnâ€™t brought into the equation until around the age of four months.
Strong facts,"Your baby actually has many more tastebuds than you, spread across her whole mouth rather than just on her tongue. While you were pregnant, she got a tiny taste of everything you ate, and she'll continue to enjoy the same flavours as you in your breastmilk. She may even show a preference for these foods later in life."
Strong facts,Babies' stomachs are surprisingly tiny
Strong facts,A newborn's stomach is only the size of a hazelnut. 
Strong facts,This explains why very young babies need to feed so often they just don't have room in their tiny tummies to drink all the milk they need at once! 
